year,month,day,30min,location,incomingShortwaveRadiation,H_orig,LE_orig
2023,5,23,42,1,-1.2143333333333333,-28.34868,5.6964
2024,5,20,46,1,-2.095,-56.8565,10.508
2024,6,2,23,0,100.06466666666668,11.26298,27.351
2023,6,13,30,1,570.6999999999999,163.3294,124.52
2024,4,20,28,1,417.3666666666666,171.2994,-34.765
2023,3,15,7,0,-0.7436666666666666,-15.312220000000002,8.896
2024,5,15,11,0,131.423,-31.32197,27.26
2024,5,7,29,0,169.51,13.11534,53.968
2023,5,27,27,1,819.0,295.0682,111.16
2024,5,13,44,0,-4.971,-59.519659999999995,23.469
2024,6,3,29,0,218.20166666666668,20.49185,59.215
2023,7,4,4,1,-1.914,-55.271980000000006,5.7741
2023,3,6,12,0,-0.7623333333333333,-4.270569999999999,3.1505
2023,5,22,21,0,723.6916666666666,61.10894,206.94
2024,5,29,1,0,-1.7990000000000002,-23.62018,31.82
2024,5,2,1,0,-4.347333333333334,-57.95141,20.173
2023,7,3,27,1,727.2333333333332,215.6264,171.24
2024,4,21,33,1,312.8,137.6667,38.814
2024,6,29,31,1,498.8999999999999,94.18948,102.21
2023,6,28,20,0,841.6053333333333,144.5432,234.87
2023,7,3,10,1,44.60333333333333,-22.65433,32.701
2024,4,17,20,1,500.7,155.988,132.08
2023,5,10,25,0,664.1763333333333,90.99288,139.83
2023,7,18,10,1,57.73,-34.29091,15.431
2023,5,30,32,1,540.7333333333333,212.2309,95.135
2023,6,2,1,1,-0.6063333333333333,27.49458,24.358
2024,4,17,35,1,60.98333333333334,12.91315,29.296999999999997
2024,6,23,43,1,-2.0773333333333333,-27.73535,9.2487
2023,6,1,15,1,269.53333333333336,154.4444,42.667
2023,2,17,14,0,-0.5106666666666667,-17.427570000000003,1.7336
2023,6,28,11,1,162.76666666666668,5.15725,17.647000000000002
2024,6,27,20,0,777.5883333333333,85.735,187.95
2023,5,25,39,1,28.63,-26.426790000000004,5.9395
2024,5,16,15,1,485.7999999999999,166.4304,119.67
2023,6,16,21,0,260.57533333333333,38.38783,115.81
2023,7,21,2,1,-0.9703333333333334,-19.80377,7.223
2024,4,12,17,0,497.88200000000006,71.40099000000001,108.68
2024,5,30,25,0,345.421,45.59884,105.21
2023,6,12,1,1,-3.016666666666667,-63.99821,12.201
2023,6,25,25,1,942.3333333333334,257.731,184.48
2023,7,26,33,1,308.09999999999997,95.93255,151.63
2024,4,18,45,1,-1.7193333333333334,-45.51976,4.7787
2023,6,19,7,0,-1.1296666666666668,-15.77534,13.09
2023,6,20,4,1,-1.1833333333333331,-34.67383,16.023
2024,4,2,25,1,357.40000000000003,103.6343,60.67
2024,4,4,14,0,36.87933333333333,-13.63269,41.126000000000005
2023,5,12,37,1,62.276666666666664,-23.2697,46.413999999999994
2024,5,29,13,0,194.76166666666663,13.29442,48.218999999999994
2024,4,6,25,0,595.4926666666667,51.9977,179.77
2023,3,12,20,0,147.84,11.64237,31.583
2023,6,17,17,1,640.3333333333334,147.988,114.38
2023,7,14,15,1,418.9333333333334,79.23326,106.84
2023,6,18,46,1,-1.3186666666666669,-30.72137,9.881
2023,7,1,11,1,110.9,-11.70567,33.184
2023,7,11,22,1,781.6666666666666,155.9402,207.19
2024,6,15,14,0,31.299666666666667,-13.19575,76.39399999999999
2023,3,17,27,0,327.83566666666667,35.995670000000004,70.37
2023,7,18,27,0,466.05733333333336,52.63629,130.19
2024,4,25,30,0,402.7746666666667,57.48966,100.2
2023,6,10,36,1,113.99,42.28164,109.64
2024,4,18,15,1,147.06666666666666,39.31857,19.223
2023,6,11,22,1,877.0,298.6576,277.64
2024,4,6,8,1,-1.5013333333333334,-15.251270000000002,-5.405
2023,6,21,8,1,15.557666666666668,-32.91813,7.1648
2024,4,4,2,1,-0.8583333333333334,-73.15961,25.185
2024,6,30,14,1,63.65666666666666,3.82077,26.655
2023,6,16,16,1,230.13333333333333,45.00404,45.358999999999995
2024,5,15,2,0,-5.535666666666667,-60.39121,17.7
2023,7,12,4,0,-3.520666666666667,-43.61281,26.484
2023,2,22,29,0,276.577,24.96005,34.272
2023,5,21,13,1,150.1,23.27733,9.1404
2024,6,10,0,1,-2.173666666666666,-25.34445,2.4326
2024,4,4,7,0,-4.589666666666666,-26.770540000000004,3.1928
2024,5,5,45,1,-0.6130000000000001,-10.6265,3.6176
2023,6,6,30,1,153.79999999999998,4.62319,31.455
2024,6,4,18,1,422.5333333333333,91.02725,66.291
